job_id,title,company,location,experience_band,salary_lpa,posted_date,skills_raw
JOB00023,Business Analyst,BrightWave Solutions,Chennai,5-8,25.4,2026-03-27,Jenkins|Jira|Requirements Gathering|SQL|Stakeholder Management
JOB00024,Data Scientist,BrightWave Solutions,Gurugram,1-3,10.7,2026-08-22,GenAI Tools|MLOps|Machine Learning|Pandas|PyTorch|Python|Statistics
JOB00025,DevOps Engineer,DataNest,Pune,5-8,28.0,2026-05-26,AWS|CI/CD|Docker|Excel|GCP|GenAI Tools|Jenkins|Kubernetes|MLOps|Python|Terraform|TypeScript
JOB00026,Business Analyst,Skyline InfoTech,Bengaluru,1-3,9.3,2026-05-24,Jenkins|Jira|Stakeholder Management|Statistics|Tableau
JOB00027,Full Stack Developer,TrueNorth Data,Mumbai,5-8,25.4,2026-08-11,AWS|JavaScript|Node.js|REST API|React|SQL|TypeScript
JOB00028,Data Analyst,Skyline InfoTech,Bengaluru,0-1,5.4,2026-05-24,AWS|Excel|Kubernetes|Pandas|Statistics|Tableau
JOB00029,Data Analyst,Meridian Softworks,Kolkata,1-3,6.8,2026-03-13,AWS|GenAI Tools|MLOps|Power BI|Redux|SQL|Statistics|TypeScript
JOB00030,Product Analyst,Vertex Software,Kolkata,5-8,26.9,2026-03-30,A/B Testing|AWS|Excel|Jenkins|Power BI|SQL|Statistics|Tableau
JOB00031,Product Analyst,Meridian Softworks,Gurugram,3-5,12.8,2026-06-29,A/B Testing|MLOps|Product Metrics|SQL|Tableau
JOB00032,DevOps Engineer,GreenPath Analytics,Gurugram,1-3,11.5,2026-07-12,AWS|CI/CD|GenAI Tools|Jenkins|Kubernetes|Linux|MLOps|Python
JOB00033,Backend Developer,Ironclad Technologies,Delhi NCR,5-8,20.5,2026-04-20,Docker|Excel|Node.js|Redis|SQL
JOB00034,Business Analyst,Pinnacle Cloud,Delhi NCR,1-3,6.6,2026-06-09,AWS|GenAI Tools|Jira|Power BI|Requirements Gathering|Stakeholder Management|Statistics|Tableau|TypeScript
JOB00035,ML Engineer,Pinnacle Cloud,Delhi NCR,8+,52.1,2026-06-04,AWS|Deep Learning|GenAI Tools|Kubernetes|MLOps|Machine Learning|PyTorch|SQL|TypeScript
JOB00036,Data Scientist,Pinnacle Cloud,Noida,1-3,13.7,2026-05-27,GenAI Tools|Pandas|PyTorch|Python|Redux|SQL|Scikit-learn|Statistics|TypeScript
JOB00037,Data Scientist,Skyline InfoTech,Mumbai,3-5,14.6,2026-07-22,GenAI Tools|Pandas|PyTorch|SQL|Statistics|TypeScript
JOB00038,Data Scientist,DataNest,Bengaluru,3-5,16.8,2026-03-29,GenAI Tools|MLOps|Machine Learning|PyTorch|Python|SQL|Scikit-learn
JOB00039,DevOps Engineer,PixelForge,Delhi NCR,8+,41.2,2026-07-29,AWS|GenAI Tools|Jenkins|Kubernetes|Python
JOB00040,ML Engineer,Quantify Labs,Bengaluru,5-8,23.6,2026-07-12,AWS|Docker|GenAI Tools|Kubernetes|Machine Learning|Python|SQL|TypeScript
JOB00041,Product Analyst,Novara Systems,Hyderabad,8+,46.6,2026-05-25,A/B Testing|AWS|Excel|Power BI|Product Metrics|Python|SQL|Tableau
JOB00042,Full Stack Developer,Innotech Systems,Noida,3-5,16.5,2026-06-07,AWS|Docker|Excel|GenAI Tools|JavaScript|Kubernetes|MongoDB|React|SQL|TypeScript
JOB00043,Business Analyst,Corestack,Gurugram,3-5,13.1,2026-06-09,GenAI Tools|Jira|SQL|Stakeholder Management|Statistics|TypeScript
JOB00044,ML Engineer,ByteBloom,Mumbai,1-3,8.8,2026-06-18,Deep Learning|Docker|GenAI Tools|Kubernetes|MLOps|Machine Learning|PyTorch
JOB00045,DevOps Engineer,Fintara,Pune,3-5,17.5,2026-06-07,AWS|CI/CD|Docker|GCP|Linux|Python|Terraform|TypeScript
JOB00046,Data Engineer,Quantify Labs,Pune,0-1,6.1,2026-08-23,AWS|Airflow|Data Warehousing|GCP|GenAI Tools|Kubernetes|Python|SQL
JOB00047,Backend Developer,TrueNorth Data,Noida,1-3,6.9,2026-04-27,AWS|MongoDB|Node.js|REST API|Redis|SQL|System Design|TypeScript
JOB00048,Data Analyst,Meridian Softworks,Delhi NCR,1-3,10.0,2026-04-14,AWS|Excel|GenAI Tools|Jenkins|Kubernetes|Looker|Power BI|Python|Redux|SQL|Tableau
JOB00049,MERN Stack Developer,DataNest,Chennai,0-1,5.9,2026-08-20,AWS|Excel|Express.js|GenAI Tools|JWT|JavaScript|Kubernetes|React|Redux|TypeScript
JOB00050,Full Stack Developer,Pinnacle Cloud,Delhi NCR,5-8,25.9,2026-07-20,AWS|Docker|Node.js|TypeScript
JOB00051,Data Analyst,GreenPath Analytics,Delhi NCR,0-1,5.6,2026-05-06,A/B Testing|AWS|Excel|MLOps|Pandas|Power BI|Tableau
JOB00052,ML Engineer,Corestack,Kolkata,5-8,29.2,2026-05-01,Excel|GenAI Tools|Machine Learning|PyTorch|SQL
JOB00053,ML Engineer,Lumen Digital,Hyderabad,3-5,22.8,2026-07-28,AWS|Deep Learning|Docker|Excel|GenAI Tools|MLOps|Machine Learning|Python|TypeScript
JOB00054,MERN Stack Developer,Vertex Software,Kolkata,0-1,6.1,2026-08-09,AWS|JWT|REST API|Redux|TypeScript
JOB00055,MERN Stack Developer,Meridian Softworks,Bengaluru,1-3,9.4,2026-05-20,AWS|Express.js|JavaScript|Kubernetes|REST API|Redux|TypeScript
JOB00056,Data Analyst,Fintara,Bengaluru,1-3,8.7,2026-03-23,Excel|GenAI Tools|Looker|Power BI|Redux|Tableau
JOB00057,Data Engineer,Innotech Systems,Bengaluru,0-1,5.7,2026-05-05,ETL|Excel|GCP|MLOps|Python|SQL|Spark
JOB00058,Product Analyst,Arclight IT,Bengaluru,1-3,9.6,2026-06-26,A/B Testing|GenAI Tools|Jenkins|Kubernetes|Product Metrics|Python|SQL
JOB00059,DevOps Engineer,ByteBloom,Gurugram,8+,37.4,2026-06-05,AWS|CI/CD|Docker|GCP|Jenkins|Linux|Python|Redux|TypeScript
JOB00060,Data Engineer,Novara Systems,Chennai,0-1,5.5,2026-07-30,AWS|ETL|GCP|Kafka|MLOps|Python
JOB00061,Data Analyst,Ironclad Technologies,Kolkata,1-3,9.1,2026-03-19,A/B Testing|Power BI|Python|SQL|Statistics|TypeScript
JOB00062,DevOps Engineer,Lumen Digital,Bengaluru,0-1,4.9,2026-04-19,AWS|CI/CD|Docker|Excel|GCP|Kubernetes|Linux|MLOps|Python
JOB00063,Backend Developer,Pinnacle Cloud,Gurugram,3-5,17.0,2026-08-08,AWS|Excel|GenAI Tools|Kubernetes|MLOps|MongoDB|Node.js|REST API|Redis|System Design
JOB00064,Product Analyst,Corestack,Pune,0-1,4.3,2026-05-11,Excel|Jenkins|Kubernetes|Power BI|Python|SQL|TypeScript
JOB00065,DevOps Engineer,Meridian Softworks,Noida,0-1,6.3,2026-08-04,AWS|CI/CD|GenAI Tools|Jenkins|Python|Redux
JOB00066,Product Analyst,Meridian Softworks,Pune,0-1,6.1,2026-08-01,A/B Testing|AWS|GenAI Tools|Jenkins|Kubernetes|MLOps|Python|SQL|Statistics|Tableau|TypeScript
JOB00067,Backend Developer,PixelForge,Hyderabad,1-3,10.1,2026-03-27,MLOps|Microservices|Node.js|REST API|Redis|System Design
JOB00068,Product Analyst,Fintara,Delhi NCR,1-3,9.0,2026-03-13,A/B Testing|Excel|GenAI Tools|Power BI|Python|SQL|Statistics|Tableau|TypeScript
JOB00069,ML Engineer,Quantify Labs,Mumbai,1-3,14.2,2026-07-26,AWS|Docker|GenAI Tools|Jenkins|MLOps|Machine Learning|Python
JOB00070,DevOps Engineer,DataNest,Pune,1-3,7.4,2026-08-15,AWS|GCP|Jenkins|Kubernetes|Linux|MLOps|Python|Terraform|TypeScript
JOB00071,Data Engineer,Corestack,Remote,8+,38.7,2026-07-06,AWS|Airflow|Data Warehousing|Docker|GCP|Python|Spark
JOB00072,Data Engineer,Fintara,Kolkata,8+,33.7,2026-05-28,Docker|GCP|Python|SQL|Spark
JOB00073,Data Engineer,Ironclad Technologies,Noida,5-8,22.0,2026-03-31,Airflow|Data Warehousing|Docker|ETL|Kafka|Python|SQL
JOB00074,Product Analyst,GreenPath Analytics,Kolkata,5-8,20.2,2026-07-20,A/B Testing|Excel|Kubernetes|Power BI|Product Metrics|Python|SQL|Statistics
JOB00075,DevOps Engineer,Skyline InfoTech,Bengaluru,0-1,4.1,2026-08-13,AWS|CI/CD|GCP|GenAI Tools|Jenkins|Kubernetes|Linux|MLOps|Python|TypeScript
JOB00076,ML Engineer,PixelForge,Chennai,5-8,27.3,2026-05-25,Deep Learning|Excel|GenAI Tools|Machine Learning|Python|SQL
JOB00077,Product Analyst,Vertex Software,Pune,5-8,23.4,2026-05-30,A/B Testing|Excel|Power BI|Product Metrics|Redux|TypeScript
JOB00078,DevOps Engineer,Arclight IT,Gurugram,3-5,19.0,2026-05-11,AWS|GCP|Jenkins|Kubernetes|Linux|Python|Terraform
JOB00079,Data Engineer,GreenPath Analytics,Noida,8+,30.9,2026-05-27,Data Warehousing|GCP|GenAI Tools|Kubernetes|MLOps|Python|SQL|Spark
JOB00080,Business Analyst,Quantify Labs,Delhi NCR,5-8,23.5,2026-04-30,Jira|Stakeholder Management|Statistics|Tableau
JOB00081,Data Scientist,DataNest,Hyderabad,3-5,15.2,2026-04-28,Deep Learning|GenAI Tools|Pandas|PyTorch|Scikit-learn
JOB00082,Data Analyst,ByteBloom,Bengaluru,1-3,7.9,2026-07-24,A/B Testing|Excel|Kubernetes|Looker|MLOps|Python|SQL|TypeScript
JOB00083,Data Scientist,Arclight IT,Mumbai,1-3,13.7,2026-04-27,Deep Learning|MLOps|Machine Learning|Pandas|PyTorch|Python|Redux|TypeScript
JOB00084,Business Analyst,Northbridge Analytics,Bengaluru,3-5,11.2,2026-08-11,AWS|Excel|Kubernetes|MLOps|Power BI|Requirements Gathering|SQL|Stakeholder Management|Statistics|Tableau|TypeScript
JOB00085,Business Analyst,BrightWave Solutions,Noida,5-8,22.5,2026-03-05,Excel|Jenkins|Jira|Requirements Gathering|SQL|Stakeholder Management|Statistics
JOB00086,ML Engineer,Arclight IT,Pune,1-3,8.3,2026-08-07,AWS|Deep Learning|Docker|GenAI Tools|MLOps|PyTorch|Python|TypeScript
JOB00087,Business Analyst,TrueNorth Data,Chennai,1-3,10.2,2026-06-22,Excel|Kubernetes|MLOps|Power BI|Redux|Requirements Gathering|Statistics
JOB00088,Product Analyst,CloudPeak Technologies,Delhi NCR,5-8,22.0,2026-05-15,AWS|Excel|Power BI|Product Metrics|Statistics|Tableau|TypeScript
JOB00089,ML Engineer,Ironclad Technologies,Delhi NCR,0-1,5.4,2026-08-04,AWS|Deep Learning|Docker|GenAI Tools|Kubernetes|MLOps|Machine Learning|PyTorch|Python|TypeScript
JOB00090,Data Engineer,Pinnacle Cloud,Noida,5-8,27.8,2026-04-04,AWS|Airflow|Data Warehousing|Docker|Excel|GCP|Jenkins|Spark
JOB00091,ML Engineer,Innotech Systems,Delhi NCR,5-8,31.4,2026-05-18,AWS|Deep Learning|Kubernetes|MLOps|PyTorch|Python|SQL
JOB00092,Data Scientist,Vertex Software,Bengaluru,1-3,8.4,2026-07-23,AWS|Deep Learning|Jenkins|MLOps|Machine Learning|PyTorch|SQL|Scikit-learn|TypeScript
JOB00093,Product Analyst,ByteBloom,Delhi NCR,8+,44.6,2026-07-13,A/B Testing|AWS|GenAI Tools|Kubernetes|Power BI|Product Metrics|Python|Statistics|Tableau|TypeScript
JOB00094,Data Analyst,Lumen Digital,Mumbai,8+,33.8,2026-07-21,A/B Testing|GenAI Tools|Pandas|Python|SQL|Tableau|TypeScript
JOB00095,Full Stack Developer,CloudPeak Technologies,Bengaluru,1-3,10.3,2026-07-20,AWS|Docker|Kubernetes|MLOps|MongoDB|Node.js|React|SQL|TypeScript
JOB00096,MERN Stack Developer,CloudPeak Technologies,Mumbai,8+,46.8,2026-04-20,AWS|Express.js|GenAI Tools|JavaScript|Node.js|REST API|Redux|TypeScript
JOB00097,Backend Developer,PixelForge,Kolkata,1-3,7.9,2026-04-22,AWS|Jenkins|Kubernetes|MongoDB|REST API|Redis|Redux|System Design
JOB00098,Data Analyst,Arclight IT,Chennai,1-3,9.3,2026-04-12,A/B Testing|AWS|GenAI Tools|Pandas|SQL|Statistics
JOB00099,MERN Stack Developer,Quantify Labs,Delhi NCR,8+,27.0,2026-03-17,AWS|Excel|Express.js|GenAI Tools|MongoDB|Node.js|React|TypeScript
JOB00100,MERN Stack Developer,Vertex Software,Mumbai,8+,38.2,2026-04-30,AWS|Express.js|GenAI Tools|JavaScript|MLOps|Node.js|React|Redux|TypeScript
JOB00101,Business Analyst,ByteBloom,Delhi NCR,5-8,21.8,2026-06-02,Excel|Kubernetes|SQL|Statistics|Tableau
JOB00102,Product Analyst,Meridian Softworks,Bengaluru,3-5,12.4,2026-03-12,A/B Testing|Excel|Power BI|Tableau
JOB00103,Data Engineer,GreenPath Analytics,Pune,5-8,26.9,2026-06-19,AWS|Airflow|Data Warehousing|Docker|Excel|GenAI Tools|Kafka|Python|SQL|TypeScript
JOB00104,Data Engineer,Arclight IT,Delhi NCR,1-3,11.7,2026-07-02,Airflow|Data Warehousing|Docker|GCP|Kafka|Python|SQL|TypeScript
JOB00105,Product Analyst,Skyline InfoTech,Bengaluru,1-3,10.9,2026-03-12,A/B Testing|Excel|Power BI|SQL
JOB00106,Full Stack Developer,TrueNorth Data,Hyderabad,0-1,6.1,2026-08-04,AWS|GenAI Tools|Kubernetes|MongoDB|Node.js|TypeScript
JOB00107,Business Analyst,PixelForge,Pune,1-3,9.8,2026-08-18,GenAI Tools|Kubernetes|SQL|Stakeholder Management|Statistics|Tableau
JOB00108,Business Analyst,ByteBloom,Gurugram,1-3,8.8,2026-06-07,Excel|Jira|Power BI|Requirements Gathering|TypeScript
JOB00109,Business Analyst,Lumen Digital,Hyderabad,0-1,4.4,2026-08-20,GenAI Tools|Kubernetes|Power BI|Requirements Gathering|SQL|Stakeholder Management|Statistics
JOB00110,Business Analyst,PixelForge,Delhi NCR,5-8,22.9,2026-08-14,Excel|GenAI Tools|Jira|MLOps|Requirements Gathering|SQL|Stakeholder Management|Statistics|Tableau
JOB00111,Product Analyst,Northbridge Analytics,Bengaluru,1-3,8.4,2026-07-17,AWS|Excel|MLOps|Power BI|Product Metrics|SQL|Tableau
JOB00112,Business Analyst,Corestack,Mumbai,1-3,6.8,2026-06-06,Excel|Jira|MLOps|Power BI|Requirements Gathering|Stakeholder Management|Statistics
JOB00113,Data Engineer,TrueNorth Data,Bengaluru,8+,34.0,2026-06-14,AWS|Airflow|Data Warehousing|Docker|ETL|Kubernetes|Python|Spark
JOB00114,Backend Developer,TrueNorth Data,Delhi NCR,3-5,15.5,2026-08-14,Excel|Kubernetes|Microservices|MongoDB|Node.js|Redis
JOB00115,Backend Developer,Ironclad Technologies,Bengaluru,8+,29.9,2026-06-28,AWS|Kubernetes|Microservices|MongoDB|Node.js|Redis
JOB00116,Data Scientist,BrightWave Solutions,Pune,1-3,8.1,2026-06-04,Deep Learning|Machine Learning|Pandas|SQL|Scikit-learn|Statistics|TypeScript
JOB00117,Full Stack Developer,Novara Systems,Hyderabad,0-1,5.2,2026-03-02,Docker|GenAI Tools|MongoDB|Node.js|Redux|SQL|TypeScript
JOB00118,Data Analyst,Lumen Digital,Remote,5-8,20.7,2026-06-11,Excel|GenAI Tools|Kubernetes|Pandas|Python|Redux|SQL
JOB00119,DevOps Engineer,PixelForge,Delhi NCR,5-8,22.2,2026-07-04,AWS|Excel|GCP|Jenkins|Linux|MLOps|TypeScript
JOB00120,ML Engineer,Meridian Softworks,Pune,3-5,14.1,2026-05-08,Deep Learning|Docker|Kubernetes|Machine Learning|PyTorch|SQL|TypeScript
JOB00121,Data Analyst,GreenPath Analytics,Remote,1-3,7.5,2026-04-19,Excel|GenAI Tools|Power BI|Python|Statistics|Tableau|TypeScript
JOB00122,Full Stack Developer,TrueNorth Data,Gurugram,8+,43.4,2026-08-26,AWS|Docker|GenAI Tools|JavaScript|Kubernetes|MLOps|MongoDB|Node.js|TypeScript
JOB00123,ML Engineer,CloudPeak Technologies,Mumbai,3-5,19.3,2026-03-25,AWS|Docker|Excel|PyTorch|SQL
JOB00124,Business Analyst,DataNest,Pune,8+,41.9,2026-08-24,AWS|Excel|Jira|Kubernetes|Power BI|Requirements Gathering|Stakeholder Management|Tableau|TypeScript
JOB00125,ML Engineer,CloudPeak Technologies,Remote,1-3,11.3,2026-04-23,AWS|GenAI Tools|Machine Learning|PyTorch|TypeScript
JOB00126,Full Stack Developer,Meridian Softworks,Mumbai,5-8,23.3,2026-07-26,JavaScript|MLOps|Node.js|SQL|TypeScript
JOB00127,Data Analyst,BrightWave Solutions,Bengaluru,3-5,17.5,2026-06-03,A/B Testing|Excel|GenAI Tools|Kubernetes|Pandas|Power BI|Statistics|TypeScript
JOB00128,Data Engineer,Fintara,Hyderabad,3-5,19.1,2026-04-07,AWS|Airflow|Data Warehousing|ETL|GCP|Kafka|Kubernetes|MLOps|Python|Redux|Spark
JOB00129,DevOps Engineer,DataNest,Delhi NCR,1-3,11.6,2026-05-17,CI/CD|Docker|GCP|Jenkins|Linux|MLOps|Python|Terraform|TypeScript
JOB00130,Data Scientist,TrueNorth Data,Mumbai,1-3,11.3,2026-04-29,Deep Learning|Excel|GenAI Tools|Machine Learning|Pandas|PyTorch|SQL|Scikit-learn
JOB00131,Data Scientist,Fintara,Chennai,0-1,5.9,2026-04-25,Deep Learning|MLOps|Pandas|SQL|Scikit-learn|Statistics|TypeScript
JOB00132,Data Engineer,GreenPath Analytics,Delhi NCR,3-5,17.4,2026-08-05,Airflow|Data Warehousing|GenAI Tools|Kafka|Kubernetes|MLOps|Spark
JOB00133,Business Analyst,Lumen Digital,Delhi NCR,1-3,6.9,2026-04-22,Excel|GenAI Tools|Jira|Power BI|Requirements Gathering|SQL|Statistics|Tableau
JOB00134,Data Analyst,Meridian Softworks,Pune,5-8,19.4,2026-03-16,Excel|Jenkins|Kubernetes|Looker|Pandas|Power BI|Redux|Statistics|TypeScript
JOB00135,DevOps Engineer,Corestack,Delhi NCR,1-3,9.7,2026-04-18,AWS|GCP|Jenkins|Kubernetes
JOB00136,Product Analyst,Skyline InfoTech,Chennai,1-3,11.4,2026-03-14,Excel|Power BI|Product Metrics|Python|Statistics
JOB00137,Backend Developer,TrueNorth Data,Noida,1-3,11.2,2026-08-24,AWS|Jenkins|MLOps|Microservices|MongoDB|REST API|System Design
JOB00138,Data Analyst,DataNest,Bengaluru,1-3,9.3,2026-03-01,Excel|GenAI Tools|Pandas|Power BI|Python|Redux|SQL|Tableau
JOB00139,Data Scientist,Novara Systems,Bengaluru,0-1,6.9,2026-06-17,AWS|Deep Learning|GenAI Tools|MLOps|Machine Learning|Pandas|PyTorch|Python|Statistics|TypeScript
JOB00140,Data Engineer,PixelForge,Chennai,0-1,5.4,2026-06-11,Airflow|Data Warehousing|Docker|ETL|GenAI Tools|Kafka|MLOps|Redux
JOB00141,Full Stack Developer,PixelForge,Delhi NCR,1-3,11.5,2026-06-26,AWS|Excel|JavaScript|REST API|React|TypeScript
JOB00142,Business Analyst,Vertex Software,Pune,1-3,8.5,2026-06-25,Excel|GenAI Tools|MLOps|Power BI|SQL|Statistics|TypeScript
JOB00143,Data Analyst,Quantify Labs,Delhi NCR,8+,31.5,2026-08-20,A/B Testing|AWS|GenAI Tools|Kubernetes|Pandas|Power BI|SQL|Statistics|Tableau|TypeScript
JOB00144,Product Analyst,Northbridge Analytics,Chennai,1-3,7.2,2026-05-19,A/B Testing|Excel|Product Metrics|Redux|SQL|Tableau|TypeScript
JOB00145,Backend Developer,Lumen Digital,Pune,1-3,7.5,2026-03-24,Docker|Excel|Microservices|MongoDB|Node.js|REST API|Redux|SQL
JOB00146,Data Scientist,Vertex Software,Remote,1-3,8.9,2026-06-01,GenAI Tools|MLOps|Pandas|PyTorch|Python|TypeScript
JOB00147,Business Analyst,Fintara,Hyderabad,1-3,8.3,2026-03-15,Excel|Jira|Kubernetes|Redux|Requirements Gathering|SQL|Statistics|Tableau
JOB00148,Data Analyst,Corestack,Hyderabad,3-5,15.5,2026-04-25,A/B Testing|Excel|Kubernetes|Looker|Pandas|Redux|Statistics
JOB00149,Data Analyst,Innotech Systems,Kolkata,5-8,21.5,2026-05-08,A/B Testing|AWS|Excel|GenAI Tools|Kubernetes|Power BI|SQL|Statistics|TypeScript
JOB00150,Data Scientist,Arclight IT,Mumbai,0-1,5.2,2026-07-28,AWS|Deep Learning|Kubernetes|MLOps|Python|Statistics|TypeScript
JOB00151,Data Scientist,PixelForge,Remote,5-8,30.3,2026-06-15,Excel|GenAI Tools|Jenkins|Kubernetes|MLOps|Machine Learning|Pandas|PyTorch|SQL
JOB00152,Product Analyst,Fintara,Bengaluru,0-1,3.7,2026-07-08,AWS|Excel|GenAI Tools|MLOps|Power BI|Product Metrics|Python|SQL|Statistics|Tableau|TypeScript
JOB00153,Business Analyst,ByteBloom,Bengaluru,1-3,10.2,2026-06-23,AWS|Excel|GenAI Tools|Requirements Gathering|SQL|Statistics|Tableau
JOB00154,Data Analyst,Pinnacle Cloud,Delhi NCR,1-3,8.4,2026-07-10,A/B Testing|AWS|Excel|GenAI Tools|MLOps|Python|SQL|Statistics|Tableau|TypeScript
JOB00155,Data Scientist,PixelForge,Delhi NCR,1-3,8.9,2026-06-25,Deep Learning|GenAI Tools|Jenkins|MLOps|PyTorch|Python|Statistics
JOB00156,MERN Stack Developer,Novara Systems,Bengaluru,3-5,13.5,2026-07-18,Express.js|Kubernetes|MLOps|Node.js|REST API|React|TypeScript
JOB00157,Data Engineer,Pinnacle Cloud,Delhi NCR,1-3,8.6,2026-07-13,AWS|ETL|Excel|GCP|Kafka|Python|SQL
JOB00158,Business Analyst,Novara Systems,Bengaluru,0-1,5.0,2026-08-15,AWS|Excel|GenAI Tools|Jira|Kubernetes|MLOps|Power BI|Statistics|Tableau
JOB00159,Full Stack Developer,Fintara,Mumbai,1-3,10.6,2026-03-25,Docker|JavaScript|MongoDB|Node.js|TypeScript
JOB00160,MERN Stack Developer,Innotech Systems,Bengaluru,8+,46.5,2026-08-20,AWS|Express.js|GenAI Tools|JWT|JavaScript|Kubernetes|MongoDB|React|Redux|TypeScript
JOB00161,Backend Developer,Lumen Digital,Pune,1-3,10.9,2026-07-05,AWS|Docker|Kubernetes|MLOps|Microservices|Node.js|SQL|System Design|TypeScript
JOB00162,Product Analyst,BrightWave Solutions,Chennai,1-3,9.4,2026-03-14,AWS|Excel|Power BI|Product Metrics|SQL|Statistics|TypeScript
JOB00163,Product Analyst,Innotech Systems,Remote,1-3,10.7,2026-06-27,A/B Testing|Excel|GenAI Tools|Jenkins|Kubernetes|Power BI|Product Metrics|Python|SQL|Tableau
JOB00164,Data Engineer,Innotech Systems,Bengaluru,1-3,9.4,2026-04-23,AWS|Airflow|Data Warehousing|Docker|Kafka|Python|Redux|SQL|Spark
JOB00165,Full Stack Developer,GreenPath Analytics,Hyderabad,0-1,5.0,2026-05-20,AWS|Docker|JavaScript|MLOps|Node.js|React|SQL
JOB00166,DevOps Engineer,Novara Systems,Chennai,3-5,20.6,2026-04-12,AWS|Docker|GCP|Jenkins|Linux|MLOps|Python|TypeScript
JOB00167,Full Stack Developer,PixelForge,Delhi NCR,5-8,19.1,2026-04-16,AWS|GenAI Tools|Node.js|SQL|TypeScript
JOB00168,Data Engineer,Pinnacle Cloud,Bengaluru,3-5,13.4,2026-08-23,AWS|GCP|GenAI Tools|Jenkins|Kafka|Kubernetes|MLOps|Python|TypeScript
JOB00169,Product Analyst,ByteBloom,Chennai,0-1,4.0,2026-08-09,A/B Testing|Excel|GenAI Tools|Jenkins|Kubernetes|MLOps|Power BI|Product Metrics|SQL|Tableau|TypeScript
